CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLCHI345,EL SAUZ-ENCINILLAS 2,,807,EL SAUZ-ENCINILLAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,ACUÍFERO EL SAUZ-ENCINILLAS,SUBTERRÁNEO,POZO,29.06838,-106.2562
DLCHI346,EL SAUZ-ENCINILLAS 3,,807,EL SAUZ-ENCINILLAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,ACUÍFERO EL SAUZ-ENCINILLAS,SUBTERRÁNEO,POZO,28.91807,-106.30172
DLCHI347,CHIHUAHUA-SACRAMENTO 3,,807,EL SAUZ-ENCINILLAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,ACUÍFERO EL SAUZ-ENCINILLAS,SUBTERRÁNEO,POZO,28.90021,-106.30575
DLCHI348,CHIHUAHUA-SACRAMENTO 2,,830,CHIHUAHUA-SACRAMENTO,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,ACUÍFERO CHIHUAHUA-SACRAMENTO,SUBTERRÁNEO,POZO,28.87425,-106.23605
DLCHI349,EL MIMBRE DE ABAJO,,835,TABALAOPA-ALDAMA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,ALDAMA,ACUÍFERO TABALAOPA-ALDAMA,SUBTERRÁNEO,POZO,28.80998,-106.01135
DLCHI350,PRESA LUIS L. LEON 7,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,ALDAMA,PRESA L. LEON,LÉNTICO (HUMEDAL),PRESA,28.93573,-105.31327
DLCHI351,PRESA LUIS L. LEON 8,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,ALDAMA,PRESA L. LEON,LÉNTICO (HUMEDAL),PRESA,28.92951,-105.31778
DLCHI352,RIO CHUVISCAR 4,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,RIO CHUVISCAR,LÓTICO,RÍO,28.65974,-106.0635
DLCHI353,"PAPELERA DE CHIHUAHUA, S.A. DE C.V. (AGUAS ARRIBA)",RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,AFLUENTE DE DESCARGA RIO CONCHOS Y CUERPO DE DESCARGA RIO CHUVISCAR,LÓTICO,RÍO,28.66067,-106.06481
DLCHI354,"PAPELERA DE CHIHUAHUA, S.A. DE C.V. (AGUAS ABAJO)",RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,AFLUENTE DE DESCARGA RIO CONCHOS Y CUERPO DE DESCARGA RIO CHUVISCAR,LÓTICO,RÍO,28.6603,-106.06249
