CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,PERIODO,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_mg/L,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
OCCCN5774,POZO LA VENTANA,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,VIESCA,ORIENTE AGUANAVAL,POZO,"-103,479250","25,327720",2021,"302,06",Alta,1170,Permisible para riego,"748,5",,Cultivos sensibles,Potable - Dulce,"1,54",Alta,"326,5",Potable - Dura,,,"2,95",Potable - Excelente,"0,0343",No apta como FAAP,,,,,,,,,,,,,Rojo,"FLUO,AS,",SI,SI,SI,SI,NO,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5775,POZO PUNTA DE SANTO DOMINGO,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,VIESCA,ORIENTE AGUANAVAL,POZO,"-102,890420","24,764500",2021,"326,1",Alta,1435,Permisible para riego,918,,Cultivos sensibles,Potable - Dulce,"2,18",Alta,282,Potable - Dura,,,3,Potable - Excelente,"0,0518",No apta como FAAP,,,,,,,,,,,,,Rojo,"FLUO,AS,",SI,SI,SI,SI,NO,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5777,POZO SAN JOSE DEL AGUAJE,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,VIESCA,ORIENTE AGUANAVAL,POZO,"-102,940220","24,782420",2021,"265,45",Alta,1157,Permisible para riego,740,,Cultivos sensibles,Potable - Dulce,"1,5",Alta,286,Potable - Dura,,,"2,3",Potable - Excelente,"0,011",Apta como FAAP,,,,,,,,,,,,,Rojo,"FLUO,",SI,SI,SI,SI,NO,SI,ND,SI,SI,ND,ND,ND,ND,ND,ND
OCCCN5779,POZO TANQUE AGUILEREÑO,CUENCAS CENTRALES DEL NORTE,COAHUILA DE ZARAGOZA,VIESCA,ORIENTE AGUANAVAL,POZO,"-102,950470","24,807580",2021,"286,05",Alta,546,Buena para riego,273,,Excelente para riego,Potable - Dulce,"1,22",Potable - Optima,<20,Potable - Suave,,,<0.02,Potable - Excelente,<0.01,Potable - Excelente,,,,,,,,,,,,,Verde,,SI,SI,SI,SI,SI,SI,ND,SI,SI,ND,ND,ND,ND,ND,ND
OCCCN5849,POZO EL REFUGIO.,CUENCAS CENTRALES DEL NORTE,DURANGO,GENERAL SIMON BOLIVAR,ORIENTE AGUANAVAL,POZO,"-103,195750","24,789390",2021,"283,96",Alta,489,Buena para riego,245,,Excelente para riego,Potable - Dulce,"0,55",Media,269,Potable - Dura,,,"1,3",Potable - Excelente,"0,0328",No apta como FAAP,,,,,,,,,,,,,Rojo,"AS,",SI,SI,SI,SI,SI,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5850,POZO ENRIQUE FLORES MAGON,CUENCAS CENTRALES DEL NORTE,DURANGO,GENERAL SIMON BOLIVAR,ORIENTE AGUANAVAL,POZO,"-103,380690","25,126970",2021,"407,1",Indeseable como FAAP,5180,Indeseable para riego,3315,,Cultivos tolerantes,Salobres,"3,12",Alta,1589,Muy dura e indeseable usos industrial y domestico,,,"2,6",Potable - Excelente,"0,057",No apta como FAAP,,,,,,,,,,,,,Rojo,"ALC,CONDUC,SDT_ra,SDT_salin,FLUO,DT,AS,",NO,NO,NO,NO,NO,NO,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5853,POZO HUARICHIC,CUENCAS CENTRALES DEL NORTE,DURANGO,GENERAL SIMON BOLIVAR,ORIENTE AGUANAVAL,POZO,"-103,150920","24,833390",2021,"291,77",Alta,666,Buena para riego,333,,Excelente para riego,Potable - Dulce,"1,37",Potable - Optima,193,Potable - Dura,,,<0.02,Potable - Excelente,"0,0331",No apta como FAAP,,,,,,,,,,,,,Rojo,"AS,",SI,SI,SI,SI,SI,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5854,POZO IGNACIO ZARAGOZA,CUENCAS CENTRALES DEL NORTE,DURANGO,GENERAL SIMON BOLIVAR,ORIENTE AGUANAVAL,POZO,"-103,386250","25,138000",2021,"343,69",Alta,2012,Dudosa para riego,1288,,Cultivos con manejo especial,Ligeramente salobres,"2,3",Alta,619,Muy dura e indeseable usos industrial y domestico,,,"2,2",Potable - Excelente,"0,0418",No apta como FAAP,,,,,,,,,,,,,Rojo,"CONDUC,FLUO,DT,AS,",SI,NO,SI,SI,NO,NO,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5858,POZO ORIENTE AGUANAVAL,CUENCAS CENTRALES DEL NORTE,DURANGO,GENERAL SIMON BOLIVAR,ORIENTE AGUANAVAL,POZO,"-103,236080","24,901080",2021,"290,63",Alta,3100,Indeseable para riego,1984,,Cultivos con manejo especial,Ligeramente salobres,"1,88",Alta,930,Muy dura e indeseable usos industrial y domestico,,,"4,9",Potable - Excelente,"0,087",No apta como FAAP,,,,,,,,,,,,,Rojo,"CONDUC,FLUO,DT,AS,",SI,NO,SI,SI,NO,NO,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5860,POZO ROSALIA,CUENCAS CENTRALES DEL NORTE,DURANGO,GENERAL SIMON BOLIVAR,ORIENTE AGUANAVAL,POZO,"-102,936310","24,777890",2021,"403,9",Indeseable como FAAP,2740,Dudosa para riego,1754,,Cultivos con manejo especial,Ligeramente salobres,"2,09",Alta,840,Muy dura e indeseable usos industrial y domestico,,,"3,4",Potable - Excelente,"0,0212",Apta como FAAP,,,,,,,,,,,,,Rojo,"ALC,CONDUC,FLUO,DT,",NO,NO,SI,SI,NO,NO,ND,SI,SI,ND,ND,ND,ND,ND,ND
OCCCN5861,POZO SAN ANTONIO DE ZARAGOZA,CUENCAS CENTRALES DEL NORTE,DURANGO,GENERAL SIMON BOLIVAR,ORIENTE AGUANAVAL,POZO,"-103,399830","25,163970",2021,"346,45",Alta,1671,Permisible para riego,1069,,Cultivos con manejo especial,Ligeramente salobres,"1,53",Alta,539,Muy dura e indeseable usos industrial y domestico,,,"1,8",Potable - Excelente,"0,0223",Apta como FAAP,,,,,,,,,,,,,Rojo,"FLUO,DT,",SI,SI,SI,SI,NO,NO,ND,SI,SI,ND,ND,ND,ND,ND,ND
OCCCN5866,POZO SAN ALBERTO,CUENCAS CENTRALES DEL NORTE,DURANGO,GOMEZ PALACIO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,345810","25,824720",2021,"139,68",Media,2064,Dudosa para riego,1321,,Cultivos con manejo especial,Ligeramente salobres,"0,87",Potable - Optima,141,Potable - Dura,,,"1,7",Potable - Excelente,"0,0573",No apta como FAAP,,,,,,,,,,,,,Rojo,"CONDUC,AS,",SI,NO,SI,SI,SI,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5867,POZO SAN FELIPE 22,CUENCAS CENTRALES DEL NORTE,DURANGO,GOMEZ PALACIO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,394330","25,691080",2021,"192,98",Alta,367,Buena para riego,184,,Excelente para riego,Potable - Dulce,"3,76",Alta,46,Potable - Suave,,,"0,4",Potable - Excelente,"0,3732",No apta como FAAP,,,,,,,,,,,,,Rojo,"FLUO,AS,",SI,SI,SI,SI,NO,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5868,POZO SAN FELIPE 24,CUENCAS CENTRALES DEL NORTE,DURANGO,GOMEZ PALACIO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,389720","25,688220",2021,"199,41",Alta,422,Buena para riego,211,,Excelente para riego,Potable - Dulce,"2,96",Alta,57,Potable - Suave,,,"1,4",Potable - Excelente,"0,2189",No apta como FAAP,,,,,,,,,,,,,Rojo,"FLUO,AS,",SI,SI,SI,SI,NO,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5869,POZO SAN FELIPE 3,CUENCAS CENTRALES DEL NORTE,DURANGO,GOMEZ PALACIO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,390580","25,685310",2021,"366,66",Alta,676,Buena para riego,338,,Excelente para riego,Potable - Dulce,"0,4",Media,301,Potable - Dura,,,"2,4",Potable - Excelente,<0.01,Potable - Excelente,,,,,,,,,,,,,Verde,,SI,SI,SI,SI,SI,SI,ND,SI,SI,ND,ND,ND,ND,ND,ND
OCCCN5870,POZO SANTOÑA,CUENCAS CENTRALES DEL NORTE,DURANGO,GOMEZ PALACIO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,363360","25,687470",2021,"344,61",Alta,555,Buena para riego,278,,Excelente para riego,Potable - Dulce,"0,52",Media,259,Potable - Dura,,,"2,4",Potable - Excelente,"0,0118",Apta como FAAP,,,,,,,,,,,,,Verde,,SI,SI,SI,SI,SI,SI,ND,SI,SI,ND,ND,ND,ND,ND,ND
OCCCN5871,POZO NAZARENO,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,ORIENTE AGUANAVAL,POZO,"-103,415610","25,410080",2021,"315,02",Alta,796,Permisible para riego,509,,Cultivos sensibles,Potable - Dulce,"0,73",Potable - Optima,297,Potable - Dura,,,"2,8",Potable - Excelente,"0,0386",No apta como FAAP,,,,,,,,,,,,,Rojo,"AS,",SI,SI,SI,SI,SI,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5872,POZO NAZARENO 2,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,ORIENTE AGUANAVAL,POZO,"-103,418580","25,412920",2021,"299,91",Alta,936,Permisible para riego,599,,Cultivos sensibles,Potable - Dulce,"0,99",Potable - Optima,309,Potable - Dura,,,"1,8",Potable - Excelente,"0,0334",No apta como FAAP,,,,,,,,,,,,,Rojo,"AS,",SI,SI,SI,SI,SI,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
OCCCN5873,POZO NAZARENO 3,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,ORIENTE AGUANAVAL,POZO,"-103,439190","25,391110",2021,"268,52",Alta,1751,Permisible para riego,1121,,Cultivos con manejo especial,Ligeramente salobres,"1,21",Potable - Optima,621,Muy dura e indeseable usos industrial y domestico,,,"12,7",No apta como FAAP,"0,0182",Apta como FAAP,,,,,,,,,,,,,Rojo,"DT,NO3,",SI,SI,SI,SI,SI,NO,ND,NO,SI,ND,ND,ND,ND,ND,ND
OCCCN5875,POZO NUEVO GRASEROS,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,740360","25,263530",2021,"233,66",Alta,1692,Permisible para riego,1083,,Cultivos con manejo especial,Ligeramente salobres,"0,77",Potable - Optima,351,Potable - Dura,<1.1,Potable - Excelente,11,Potable - Buena calidad,<0.01,Potable - Excelente,,,,,,,,,,,,,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,ND,ND,ND,ND,ND,ND
OCCCN5876,POZO PICARDIAS,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,ORIENTE AGUANAVAL,POZO,"-103,484970","25,323360",2021,"270,37",Alta,"1042,5",Permisible para riego,667,,Cultivos sensibles,Potable - Dulce,"1,67",Alta,"265,5",Potable - Dura,,,"2,45",Potable - Excelente,"0,04005",No apta como FAAP,,,,,,,,,,,,,Rojo,"FLUO,AS,",SI,SI,SI,SI,NO,SI,ND,SI,NO,ND,ND,ND,ND,ND,ND
