CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
OCPNO6218,CNA-86 LA URRACA,,2509,RIO PRESIDIO,PACÍFICO NORTE,SINALOA,MAZATLAN,ACUÍFERO RIO PRESIDIO,SUBTERRÁNEO,POZO,23.18721667,-106.2336194
OCPNO6219,CNA-6 COFRADIA,,2509,RIO PRESIDIO,PACÍFICO NORTE,SINALOA,MAZATLAN ,ACUÍFERO RIO PRESIDIO,SUBTERRÁNEO,POZO,23.33111111,-106.2505639
OCPNO6220,CNA-175 CUBIRI DE LA MAQUINA,,2502,RIO SINALOA,PACÍFICO NORTE,SINALOA,SINALOA,ACUÍFERO RIO SINALOA,SUBTERRÁNEO,POZO,25.81944444,-108.2958333
OCPNO6221,CNA-S/N EL SABINO,,2502,RIO SINALOA,PACÍFICO NORTE,SINALOA,GUASAVE,ACUÍFERO RIO SINALOA,SUBTERRÁNEO,POZO,25.6825,-108.3930556
OCPNO6222,CNA-350 LAS CABANILLAS,,2501,RIO FUERTE,PACÍFICO NORTE,SINALOA,EL FUERTE,ACUÍFERO RIO FUERTE,SUBTERRÁNEO,POZO,26.38477778,-108.6326944
OCPNO6223,CNA-57,,2501,RIO FUERTE ,PACÍFICO NORTE,SINALOA,EL FUERTE,ACUÍFERO RIO FUERTE,SUBTERRÁNEO,POZO,25.93269444,-108.9440556
OCPNO6224,CNA-500 EL GUAYABO,,2501,RIO FUERTE,PACÍFICO NORTE,SINALOA,AHOME,ACUÍFERO RIO FUERTE,SUBTERRÁNEO,POZO,25.93905556,-109.1488333
OCPNO6534,Concordia,RIO BALUARTE 1,,,PACÍFICO NORTE,SINALOA,Concordia,Rio las Charcas,LÓTICO,RÍO,23.42240278,-105.9185361
OCPNO6535,El Rosario,RIO BALUARTE 1,,,PACÍFICO NORTE,SINALOA,El Rosario,Panuco,LÓTICO,RÍO,23.20628889,-105.9003139
OCPNO6547,RIO HUMAYA-GUATENIPA,RIO HUMAYA,,,PACÍFICO NORTE,SINALOA,BADIRAGUATO ,RIO HUMAYA,LÓTICO,RÍO,25.303333,-107.254167
OCPNO6548,RIO HUMAYA-LOS NEGRITOS,RIO HUMAYA,,,PACÍFICO NORTE,SINALOA,BADIRAGUATO ,RIO HUMAYA,LÓTICO,RÍO,25.311667,-107.282222
OCPNO6549,RIO HUMAYA-MORIRATO,RIO HUMAYA,,,PACÍFICO NORTE,SINALOA,BADIRAGUATO ,RIO HUMAYA,LÓTICO,RÍO,25.328611,-107.334167
OCPNO6550,RIO SAN LORENZO,RIO SAN LORENZO 1,,,PACÍFICO NORTE,SINALOA,CANELAS ,RIO SAN LORENZO,LÓTICO,RÍO,24.655084,-106.689188
OCPNO6551,POZO DE AGUA EL PROFESOR PONCHO,,2506,RIO ELOTA,PACÍFICO NORTE,SINALOA,COSALA,ACUÍFERO RIO ELOTA,SUBTERRÁNEO,POZO,24.404791,-106.690903
OCPNO6552,POZO DE AGUA EL AZAFRAN,,2506,RIO ELOTA,PACÍFICO NORTE,SINALOA,COSALA,ACUÍFERO RIO ELOTA,SUBTERRÁNEO,POZO,24.404218,-106.696613
OCPNO0001RNL21,LAGUNA DE AGUAS TERMALES FRACCIONAMIENTO PORTA ALEGRE,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,LAGUNA DE AGUAS TERMALES FRACCIONAMIENTO PORTA ALEGRE,LÉNTICO,HUMEDAL,24.834167,-107.445556
OCPNO0002RNL21,AGUA INFILTRADA FRACC. VILLA BONITA,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,RÍO JAMAPA,LÓTICO,RÍO,24.752315,-107.389286
